,Unnamed: 0,Statement,Verbs/Skills,Grade,Subject
2,2,"(3) Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",contain; include; master; contain; intend,Grade 8,MUSIC
0,0,"(1) Scientific investigation and reasoning. The student conducts classroom and outdoor investigations, following home and school safety procedures and environmentally appropriate and ethical practices. The student is expected to: (A) demonstrate safe practices and the use of safety equipment as described in Texas Education Agency-approved safety standards during classroom and outdoor investigations using safety equipment, including safety goggles or chemical splash goggles, as appropriate, and gloves, as appropriate; and (B) make informed choices in the use and conservation of natural resources and reusing and recycling of materials such as paper, aluminum, glass, cans, and plastic.",conduct; follow; expect; demonstrate; describe; approve; use; include; make; reuse,Grade 4,SCIENCE
1,1,"(2) Scientific investigation and reasoning. The student uses scientific practices during laboratory and outdoor investigations. The student is expected to: (A) plan and implement descriptive investigations, including asking well defined questions, making inferences, and selecting and using appropriate equipment or technology to answer his/her questions; (B) collect and record data by observing and measuring, using the metric system, and using descriptive words and numerals such as labeled drawings, writing, and concept maps; (C) construct simple tables, charts, bar graphs, and maps using tools and current technology to organize, examine, and evaluate data; (D) analyze data and interpret patterns to construct reasonable explanations from data that can be observed and measured; (E) perform repeated investigations to increase the reliability of results; and (F) communicate valid oral and written results supported by data.",use; expect; implement; include; ask; define; make; select; use; answer; collect; observe; measure; use; use; label; construct; use; organize; examine; evaluate; analyze; interpret; construct; observe; measure; perform; repeat; increase; communicate; write; support,Grade 4,SCIENCE
2,2,"(3) Scientific investigation and reasoning. The student uses critical thinking and scientific problem solving to make informed decisions. The student is expected to: (A) analyze, evaluate, and critique scientific explanations by using evidence, logical reasoning, and experimental and observational testing; (B) represent the natural world using models such as the water cycle and stream tables and identify their limitations, including accuracy and size; and (C) connect grade-level appropriate science concepts with the history of science, science careers, and contributions of scientists.",use; solve; make; expect; evaluate; critique; use; represent; use; identify; include; connect,Grade 4,SCIENCE
3,3,"(4) Scientific investigation and reasoning. The student knows how to use a variety of tools, materials, equipment, and models to conduct science inquiry. The student is expected to",know; use; conduct; expect,Grade 4,SCIENCE
4,4,"(5) Matter and energy. The student knows that matter has measurable physical properties and those properties determine how matter is classified, changed, and used. The student is expected to: (A) measure, compare, and contrast physical properties of matter, including mass, volume, states (solid, liquid, gas), temperature, magnetism, and the ability to sink or float; and (B) compare and contrast a variety of mixtures, including solutions.",know; determine; classify; change; use; expect; compare; contrast; include; sink; float; compare; contrast; include,Grade 4,SCIENCE
5,5,"(6) Force, motion, and energy. The student knows that energy exists in many forms and can be observed in cycles, patterns, and systems. The student is expected to: (A) differentiate among forms of energy, including mechanical, sound, electrical, light, and thermal; (B) differentiate between conductors and insulators of thermal and electrical energy; (C) demonstrate that electricity travels in a closed path, creating an electrical circuit; and (D) design a descriptive investigation to explore the effect of force on an object such as a push or a pull, gravity, friction, or magnetism.",know; exist; observe; expect; include; demonstrate; travel; create; design; explore,Grade 4,SCIENCE
6,6,"(7) Earth and space. The students know that Earth consists of useful resources and its surface is constantly changing. The student is expected to: (A) examine properties of soils, including color and texture, capacity to retain water, and ability to support the growth of plants; (B) observe and identify slow changes to Earth's surface caused by weathering, erosion, and deposition from water, wind, and ice; and (C) identify and classify Earth's renewable resources, including air, plants, water, and animals, and nonrenewable resources, including coal, oil, and natural gas, and the importance of conservation.",know; consist; change; expect; include; retain; support; observe; identify; cause; identify; classify; include; include,Grade 4,SCIENCE
7,7,"(8) Earth and space. The student knows that there are recognizable patterns in the natural world and among the Sun, Earth, and Moon system. The student is expected to: (A) measure, record, and predict changes in weather; (B) describe and illustrate the continuous movement of water above and on the surface of Earth through the water cycle and explain the role of the Sun as a major source of energy in this process; and (C) collect and analyze data to identify sequences and predict patterns of change in shadows, seasons, and the observable appearance of the Moon over time.",know; be; expect; predict; describe; illustrate; explain; collect; analyze; identify; predict,Grade 4,SCIENCE
8,8,"(9) Organisms and environments. The student knows and understands that living organisms within an ecosystem interact with one another and with their environment. The student is expected to: (A) investigate that most producers need sunlight, water, and carbon dioxide to make their own food, while consumers are dependent on other organisms for food; and (B) describe the flow of energy through food webs, beginning with the Sun, and predict how changes in the ecosystem affect the food web.",know; understand; live; expect; investigate; need; make; describe; begin; predict; affect,Grade 4,SCIENCE
9,9,"(10) Organisms and environments. The student knows that organisms undergo similar life processes and have structures and behaviors that help them survive within their environment. The student is expected to: (A) explore how structures and functions enable organisms to survive in their environment; (B) explore and describe examples of traits that are inherited from parents to offspring such as eye color and shapes of leaves and behaviors that are learned such as reading a book and a wolf pack teaching their pups to hunt effectively; and (C) explore, illustrate, and compare life cycles in living organisms such as beetles, crickets, radishes, or lima beans.",know; undergo; have; help; survive; expect; explore; enable; survive; explore; describe; inherit; learn; read; teach; hunt; illustrate; compare; live,Grade 4,SCIENCE
0,0,"(1) Scientific investigation and reasoning. The student conducts classroom and outdoor investigations following home and school safety procedures and environmentally appropriate and ethical practices. The student is expected to: (A) demonstrate safe practices and the use of safety equipment as outlined in Texas Education Agency-approved safety standards during classroom and outdoor investigations using safety equipment, including safety goggles or chemical splash goggles, as appropriate, and gloves, as appropriate; and (B) make informed choices in the conservation, disposal, and recycling of materials.",conduct; follow; expect; demonstrate; outline; approve; use; include; make,Grade 5,SCIENCE
1,1,"(2) Scientific investigation and reasoning. The student uses scientific practices during laboratory and outdoor investigations. The student is expected to: (A) describe, plan, and implement simple experimental investigations testing one variable; (B) ask well defined questions, formulate testable hypotheses, and select and use appropriate equipment and technology; (C) collect and record information using detailed observations and accurate measuring; (D) analyze and interpret information to construct reasonable explanations from direct (observable) and indirect (inferred) evidence; (E) demonstrate that repeated investigations may increase the reliability of results; (F) communicate valid conclusions in both written and verbal forms; and (G) construct appropriate simple graphs, tables, maps, and charts using technology, including computers, to organize, examine, and evaluate information.",use; expect; implement; test; ask; define; formulate; select; use; collect; use; analyze; interpret; construct; infer; demonstrate; repeat; increase; communicate; write; construct; use; include; organize; examine; evaluate,Grade 5,SCIENCE
2,2,"(3) Scientific investigation and reasoning. The student uses critical thinking and scientific problem solving to make informed decisions. The student is expected to: (A) analyze, evaluate, and critique scientific explanations by using evidence, logical reasoning, and experimental and observational testing; (B) draw or develop a model that represents how something that cannot be seen such as the Sun, Earth, and Moon system and formation of sedimentary rock works or looks; and (C) connect grade-level appropriate science concepts with the history of science, science careers, and contributions of scientists.",use; solve; make; expect; evaluate; critique; use; draw; develop; represent; see; connect,Grade 5,SCIENCE
3,3,"(4) Scientific investigation and reasoning. The student knows how to use a variety of tools and methods to conduct science inquiry. The student is expected to collect, record, and analyze information using tools, including calculators, microscopes, cameras, computers, hand lenses, metric rulers, Celsius thermometers, prisms, mirrors, balances, spring scales, graduated cylinders, beakers, hot plates, meter sticks, magnets, collecting nets, and notebooks; timing devices; and materials to support observations of habitats or organisms such as terrariums and aquariums.",know; use; conduct; expect; collect; analyze; use; include; graduate; collect; time; support,Grade 5,SCIENCE
4,4,"(5) Matter and energy. The student knows that matter has measurable physical properties and those properties determine how matter is classified, changed, and used. The student is expected to: (A) classify matter based on measurable, testable, and observable physical properties, including mass, magnetism, physical state (solid, liquid, and gas), relative density (sinking and floating using water as a reference point), solubility in water, and the ability to conduct or insulate thermal energy or electric energy; (B) demonstrate that some mixtures maintain physical properties of their ingredients such as iron filings and sand and sand and water; and (C) identify changes that can occur in the physical properties of the ingredients of solutions such as dissolving salt in water or adding lemon juice to water.",know; determine; classify; change; use; expect; base; include; sink; float; use; conduct; insulate; demonstrate; maintain; identify; occur; dissolve; add,Grade 5,SCIENCE
5,5,"(6) Force, motion, and energy. The student knows that energy occurs in many forms and can be observed in cycles, patterns, and systems. The student is expected to: (A) explore the uses of energy, including mechanical, light, thermal, electrical, and sound energy; (B) demonstrate that the flow of electricity in closed circuits can produce light, heat, or sound; (C) demonstrate that light travels in a straight line until it strikes an object and is reflected or travels through one medium to another and is refracted; and (D) design a simple experimental investigation that tests the effect of force on an object.",know; occur; observe; expect; explore; include; demonstrate; produce; sound; demonstrate; travel; strike; reflect; travel; refract; design; test,Grade 5,SCIENCE
6,6,"(7) Earth and space. The student knows Earth's surface is constantly changing and consists of useful resources. The student is expected to: (A) explore the processes that led to the formation of sedimentary rocks and fossil fuels; and (B) recognize how landforms such as deltas, canyons, and sand dunes are the result of changes to Earth's surface by wind, water, or ice.",know; change; consist; expect; explore; lead; recognize,Grade 5,SCIENCE
7,7,"(8) Earth and space. The student knows that there are recognizable patterns in the natural world and among the Sun, Earth, and Moon system. The student is expected to: (A) differentiate between weather and climate; (B) explain how the Sun and the ocean interact in the water cycle; (C) demonstrate that Earth rotates on its axis once approximately every 24 hours causing the day/night cycle and the apparent movement of the Sun across the sky; and (D) identify and compare the physical characteristics of the Sun, Earth, and Moon.",know; be; expect; explain; demonstrate; rotate; cause; identify; compare,Grade 5,SCIENCE
8,8,"(9) Organisms and environments. The student knows that there are relationships, systems, and cycles within environments. The student is expected to: (A) observe the way organisms live and survive in their ecosystem by interacting with the living and nonliving components; (B) describe the flow of energy within a food web, including the roles of the Sun, producers, consumers, and decomposers; (C) predict the effects of changes in ecosystems caused by living organisms, including humans, such as the overpopulation of grazers or the building of highways; and (D) identify fossils as evidence of past living organisms and the nature of the environments at the time using models.",know; be; expect; observe; live; survive; interact; describe; include; predict; cause; include; identify; live; use,Grade 5,SCIENCE
9,9,(10) Organisms and environments. The student knows that organisms have structures and behaviors that help them survive within their environments. The student is expected to: (A) compare the structures and functions of different species that help them live and survive in a specific environment such as hooves on prairie animals or webbed feet in aquatic animals; and (B) differentiate between inherited traits of plants and animals such as spines on a cactus or shape of a beak and learned behaviors such as an animal learning tricks or a child riding a bicycle.,know; have; help; survive; expect; compare; help; live; survive; web; inherit; learn; learn; ride,Grade 5,SCIENCE
0,0,"(1) Scientific investigation and reasoning. The student, for at least 40% of instructional time, conducts laboratory and field investigations following safety procedures and environmentally appropriate and ethical practices. The student is expected to: (A) demonstrate safe practices during laboratory and field investigations as outlined in Texas Education Agency-approved safety standards; and (B) practice appropriate use and conservation of resources, including disposal, reuse, or recycling of materials.",conduct; follow; expect; demonstrate; outline; approve; include,Grade 6,SCIENCE
1,1,"(2) Scientific investigation and reasoning. The student uses scientific practices during laboratory and field investigations. The student is expected to: (A) plan and implement comparative and descriptive investigations by making observations, asking well defined questions, and using appropriate equipment and technology; (B) design and implement experimental investigations by making observations, asking well defined questions, formulating testable hypotheses, and using appropriate equipment and technology; (C) collect and record data using the International System of Units (SI) and qualitative means such as labeled drawings, writing, and graphic organizers; (D) construct tables and graphs, using repeated trials and means, to organize data and identify patterns; and (E) analyze data to formulate reasonable explanations, communicate valid conclusions supported by the data, and predict trends.",use; expect; implement; make; ask; define; use; implement; make; ask; define; formulate; use; use; label; construct; use; repeat; organize; identify; analyze; formulate; communicate; support; predict,Grade 6,SCIENCE
2,2,"(3) Scientific investigation and reasoning. The student uses critical thinking, scientific reasoning, and problem solving to make informed decisions and knows the contributions of relevant scientists. The student is expected to: (A) analyze, evaluate, and critique scientific explanations by using empirical evidence, logical reasoning, and experimental and observational testing, so as to encourage critical thinking by the student; (B) use models to represent aspects of the natural world such as a model of Earth's layers; (C) identify advantages and limitations of models such as size, scale, properties, and materials; and (D) relate the impact of research on scientific thought and society, including the history of science and contributions of scientists as related to the content.",use; solve; make; know; expect; evaluate; critique; use; encourage; represent; identify; relate; include; relate,Grade 6,SCIENCE
3,3,"(4) Scientific investigation and reasoning. The student knows how to use a variety of tools and safety equipment to conduct science inquiry. The student is expected to: (A) use appropriate tools, including journals/notebooks, beakers, Petri dishes, meter sticks, graduated cylinders, hot plates, test tubes, balances, microscopes, thermometers, calculators, computers, timing devices, and other necessary equipment to collect, record, and analyze information; and (B) use preventative safety equipment, including chemical splash goggles, aprons, and gloves, and be prepared to use emergency safety equipment, including an eye/face wash, a fire blanket, and a fire extinguisher.",know; use; conduct; expect; use; include; graduate; collect; analyze; use; include; use; include,Grade 6,SCIENCE
4,4,"(5) Matter and energy. The student knows the differences between elements and compounds. The student is expected to: (A) know that an element is a pure substance represented by a chemical symbol and that a compound is a pure substance represented by a chemical formula; (B) recognize that a limited number of the many known elements comprise the largest portion of solid Earth, living matter, oceans, and the atmosphere; and (C) identify the formation of a new substance by using the evidence of a possible chemical change such as production of a gas, change in temperature, production of a precipitate, or color change.",know; expect; know; represent; represent; recognize; know; comprise; identify; use,Grade 6,SCIENCE
5,5,"(6) Matter and energy. The student knows matter has physical properties that can be used for classification. The student is expected to: (A) compare metals, nonmetals, and metalloids using physical properties such as luster, conductivity, or malleability; (B) calculate density to identify an unknown substance; and (C) test the physical properties of minerals, including hardness, color, luster, and streak.",know; use; expect; use; calculate; identify; test; include; streak,Grade 6,SCIENCE
6,6,"(7) Matter and energy. The student knows that some of Earth's energy resources are available on a nearly perpetual basis, while others can be renewed over a relatively short period of time. Some energy resources, once depleted, are essentially nonrenewable. The student is expected to research and discuss the advantages and disadvantages of using coal, oil, natural gas, nuclear power, biomass, wind, hydropower, geothermal, and solar resources.",know; renew; deplete; expect; research; discuss; use,Grade 6,SCIENCE
7,7,"(8) Force, motion, and energy. The student knows force and motion are related to potential and kinetic energy. The student is expected to: (A) compare and contrast potential and kinetic energy; (B) identify and describe the changes in position, direction, and speed of an object when acted upon by unbalanced forces; (C) calculate average speed using distance and time measurements; (D) measure and graph changes in motion; and (E) investigate how inclined planes can be used to change the amount of force to move an object.",know; relate; expect; contrast; identify; describe; act; calculate; use; investigate; use; change; move,Grade 6,SCIENCE
8,8,"(9) Force, motion, and energy. The student knows that the Law of Conservation of Energy states that energy can neither be created nor destroyed, it just changes form. The student is expected to: (A) investigate methods of thermal energy transfer, including conduction, convection, and radiation; (B) verify through investigations that thermal energy moves in a predictable pattern from warmer to cooler until all the substances attain the same temperature such as an ice cube melting; and (C) demonstrate energy transformations such as energy in a flashlight battery changes from chemical energy to electrical energy to light energy.",know; create; destroy; change; expect; include; verify; cooler; attain; demonstrate,Grade 6,SCIENCE
9,9,"(10) Earth and space. The student understands the structure of Earth, the rock cycle, and plate tectonics. The student is expected to: (A) build a model to illustrate the compositional and mechanical layers of Earth, including the inner core, outer core, mantle, crust, asthenosphere, and lithosphere; (B) classify rocks as metamorphic, igneous, or sedimentary by the processes of their formation; (C) identify the major tectonic plates, including Eurasian, African, Indo-Australian, Pacific, North American, and South American; and (D) describe how plate tectonics causes major geological events such as ocean basin formation, earthquakes, volcanic eruptions, and mountain building.",understand; expect; build; illustrate; include; classify; identify; include; describe; cause,Grade 6,SCIENCE
10,10,"(11) Earth and space. The student understands the organization of our solar system and the relationships among the various bodies that comprise it. The student is expected to: (A) describe the physical properties, locations, and movements of the Sun, planets, moons, meteors, asteroids, and comets; (B) understand that gravity is the force that governs the motion of our solar system; and (C) describe the history and future of space exploration, including the types of equipment and transportation needed for space travel.",understand; comprise; expect; describe; understand; govern; describe; include; need,Grade 6,SCIENCE
11,11,"(12) Organisms and environments. The student knows all organisms are classified into domains and kingdoms. Organisms within these taxonomic groups share similar characteristics that allow them to interact with the living and nonliving parts of their ecosystem. The student is expected to: (A) understand that all organisms are composed of one or more cells; (B) recognize that the presence of a nucleus is a key factor used to determine whether a cell is prokaryotic or eukaryotic; (C) recognize that the broadest taxonomic classification of living organisms is divided into currently recognized domains; (D) identify the basic characteristics of organisms, including prokaryotic or eukaryotic, unicellular or multicellular, autotrophic or heterotrophic, and mode of reproduction, that further classify them in the currently recognized kingdoms; (E) describe biotic and abiotic parts of an ecosystem in which organisms interact; and (F) diagram the levels of organization within an ecosystem, including organism, population, community, and ecosystem.",know; classify; share; allow; interact; nonlive; expect; understand; compose; recognize; use; determine; recognize; live; divide; recognize; identify; include; classify; recognize; describe; interact; diagram; include,Grade 6,SCIENCE
0,0,"(1) Scientific investigation and reasoning. The student, for at least 40% of the instructional time, conducts laboratory and field investigations following safety procedures and environmentally appropriate and ethical practices. The student is expected to: (A) demonstrate safe practices during laboratory and field investigations as outlined in Texas Education Agency-approved safety standards; and (B) practice appropriate use and conservation of resources, including disposal, reuse, or recycling of materials.",conduct; follow; expect; demonstrate; outline; approve; include,Grade 7,SCIENCE
1,1,"(2) Scientific investigation and reasoning. The student uses scientific practices during laboratory and field investigations. The student is expected to: (A) plan and implement comparative and descriptive investigations by making observations, asking well defined questions, and using appropriate equipment and technology; (B) design and implement experimental investigations by making observations, asking well defined questions, formulating testable hypotheses, and using appropriate equipment and technology; (C) collect and record data using the International System of Units (SI) and qualitative means such as labeled drawings, writing, and graphic organizers; (D) construct tables and graphs, using repeated trials and means, to organize data and identify patterns; and (E) analyze data to formulate reasonable explanations, communicate valid conclusions supported by the data, and predict trends.",use; expect; implement; make; ask; define; use; implement; make; ask; define; formulate; use; use; label; construct; use; repeat; organize; identify; analyze; formulate; communicate; support; predict,Grade 7,SCIENCE
2,2,"(3) Scientific investigation and reasoning. The student uses critical thinking, scientific reasoning, and problem solving to make informed decisions and knows the contributions of relevant scientists. The student is expected to: (A) analyze, evaluate, and critique scientific explanations by using empirical evidence, logical reasoning, and experimental and observational testing, so as to encourage critical thinking by the student; (B) use models to represent aspects of the natural world such as human body systems and plant and animal cells; (C) identify advantages and limitations of models such as size, scale, properties, and materials; and (D) relate the impact of research on scientific thought and society, including the history of science and contributions of scientists as related to the content.",use; solve; make; know; expect; evaluate; critique; use; encourage; represent; identify; relate; include; relate,Grade 7,SCIENCE
3,3,"(4) Science investigation and reasoning. The student knows how to use a variety of tools and safety equipment to conduct science inquiry. The student is expected to: (A) use appropriate tools, including life science models, hand lenses, stereoscopes, microscopes, beakers, Petri dishes, microscope slides, graduated cylinders, test tubes, meter sticks, metric rulers, metric tape measures, timing devices, hot plates, balances, thermometers, calculators, water test kits, computers, temperature and pH probes, collecting nets, insect traps, globes, digital cameras, journals/notebooks, and other necessary equipment to collect, record, and analyze information; and (B) use preventative safety equipment, including chemical splash goggles, aprons, and gloves, and be prepared to use emergency safety equipment, including an eye/face wash, a fire blanket, and a fire extinguisher.",know; use; conduct; expect; use; include; graduate; collect; collect; analyze; use; include; use; include,Grade 7,SCIENCE
4,4,"(5) Matter and energy. The student knows that interactions occur between matter and energy. The student is expected to: (A) recognize that radiant energy from the Sun is transformed into chemical energy through the process of photosynthesis; and (B) diagram the flow of energy through living systems, including food chains, food webs, and energy pyramids.",know; occur; expect; recognize; transform; diagram; include,Grade 7,SCIENCE
5,5,(6) Matter and energy. The student knows that matter has physical and chemical properties and can undergo physical and chemical changes. The student is expected to distinguish between physical and chemical changes in matter.,know; have; undergo; expect; distinguish,Grade 7,SCIENCE
6,6,"(7) Force, motion, and energy. The student knows that there is a relationship among force, motion, and energy. The student is expected to: (A) illustrate the transformation of energy within an organism such as the transfer from chemical energy to thermal energy; and (B) demonstrate and illustrate forces that affect motion in organisms such as emergence of seedlings, turgor pressure, geotropism, and circulation of blood.",know; be; expect; illustrate; demonstrate; affect,Grade 7,SCIENCE
7,7,"(8) Earth and space. The student knows that natural events and human activity can impact Earth systems. The student is expected to: (A) predict and describe how catastrophic events such as floods, hurricanes, or tornadoes impact ecosystems; (B) analyze the effects of weathering, erosion, and deposition on the environment in ecoregions of Texas; and (C) model the effects of human activity on groundwater and surface water in a watershed.",know; impact; expect; predict; describe; analyze,Grade 7,SCIENCE
8,8,"(9) Earth and space. The student knows components of our solar system. The student is expected to: (A) analyze the characteristics of objects in our solar system that allow life to exist such as the proximity of the Sun, presence of water, and composition of the atmosphere; and (B) identify the accommodations, considering the characteristics of our solar system, that enabled manned space exploration.",know; expect; analyze; allow; exist; identify; consider; enable; man,Grade 7,SCIENCE
9,9,"(10) Organisms and environments. The student knows that there is a relationship between organisms and the environment. The student is expected to: (A) observe and describe how different environments, including microhabitats in schoolyards and biomes, support different varieties of organisms; (B) describe how biodiversity contributes to the sustainability of an ecosystem; and (C) observe, record, and describe the role of ecological succession such as in a microhabitat of a garden with weeds.",know; be; expect; describe; include; support; describe; contribute; describe,Grade 7,SCIENCE
10,10,"(11) Organisms and environments. The student knows that populations and species demonstrate variation and inherit many of their unique traits through gradual processes over many generations. The student is expected to: (A) examine organisms or their structures such as insects or leaves and use dichotomous keys for identification; (B) explain variation within a population or species by comparing external features, behaviors, or physiology of organisms that enhance their survival such as migration, hibernation, or storage of food in a bulb; and (C) identify some changes in genetic traits that have occurred over several generations through natural selection and selective breeding such as the Galapagos Medium Ground Finch",know; demonstrate; inherit; expect; use; explain; compare; enhance; identify; occur,Grade 7,SCIENCE
11,11,"(12) Organisms and environments. The student knows that living systems at all levels of organization demonstrate the complementary nature of structure and function. The student is expected to: (A) investigate and explain how internal structures of organisms have adaptations that allow specific functions such as gills in fish, hollow bones in birds, or xylem in plants; (B) identify the main functions of the systems of the human organism, including the circulatory, respiratory, skeletal, muscular, digestive, excretory, reproductive, integumentary, nervous, and endocrine systems; (C) recognize levels of organization in plants and animals, including cells, tissues, organs, organ systems, and organisms; (D) differentiate between structure and function in plant and animal cell organelles, including cell membrane, cell wall, nucleus, cytoplasm, mitochondrion, chloroplast, and vacuole; (E) compare the functions of cell organelles to the functions of an organ system; and (F) recognize the components of cell theory.",know; live; demonstrate; expect; investigate; explain; have; allow; xylem; identify; include; recognize; include; include; compare; organelle; recognize,Grade 7,SCIENCE
12,12,(13) Organisms and environments. The student knows that a living organism must be able to maintain balance in stable internal conditions in response to external and internal stimuli. The student is expected to: (A) investigate how organisms respond to external stimuli found in the environment such as phototropism and fight or flight; and (B) describe and relate responses in organisms that may result from internal stimuli such as wilting in plants and fever or vomiting in animals that allow them to maintain balance.,know; live; maintain; expect; investigate; respond; find; describe; relate; result; wilt; vomit; allow; maintain,Grade 7,SCIENCE
13,13,(14) Organisms and environments. The student knows that reproduction is a characteristic of living organisms and that the instructions for traits are governed in the genetic material. The student is expected to: (A) define heredity as the passage of genetic instructions from one generation to the next generation; (B) compare the results of uniform or diverse offspring from asexual or sexual reproduction; and (C) recognize that inherited traits of individuals are governed in the genetic material found in the genes within chromosomes in the nucleus.,know; live; govern; expect; define; compare; inherit; govern; find,Grade 7,SCIENCE
0,0,"(1) Scientific investigation and reasoning. The student, for at least 40% of instructional time, conducts laboratory and field investigations following safety procedures and environmentally appropriate and ethical practices. The student is expected to: (A) demonstrate safe practices during laboratory and field investigations as outlined in Texas Education Agency-approved safety standards; and (B) practice appropriate use and conservation of resources, including disposal, reuse, or recycling of materials.",conduct; follow; expect; demonstrate; outline; approve; include,Grade 8,SCIENCE
1,1,"(2) Scientific investigation and reasoning. The student uses scientific practices during laboratory and field investigations. The student is expected to: (A) plan and implement comparative and descriptive investigations by making observations, asking well defined questions, and using appropriate equipment and technology; (B) design and implement experimental investigations by making observations, asking well defined questions, formulating testable hypotheses, and using appropriate equipment and technology; (C) collect and record data using the International System of Units (SI) and qualitative means such as labeled drawings, writing, and graphic organizers; (D) construct tables and graphs, using repeated trials and means, to organize data and identify patterns; and (E) analyze data to formulate reasonable explanations, communicate valid conclusions supported by the data, and predict trends.",use; expect; implement; make; ask; define; use; implement; make; ask; define; formulate; use; use; label; construct; use; repeat; organize; identify; analyze; formulate; communicate; support; predict,Grade 8,SCIENCE
2,2,"(3) Scientific investigation and reasoning. The student uses critical thinking, scientific reasoning, and problem solving to make informed decisions and knows the contributions of relevant scientists. The student is expected to: (A) analyze, evaluate, and critique scientific explanations by using empirical evidence, logical reasoning, and experimental and observational testing, so as to encourage critical thinking by the student; (B) use models to represent aspects of the natural world such as an atom, a molecule, space, or a geologic feature; (C) identify advantages and limitations of models such as size, scale, properties, and materials; and (D) relate the impact of research on scientific thought and society, including the history of science and contributions of scientists as related to the content.",use; solve; make; know; expect; evaluate; critique; use; encourage; represent; identify; relate; include; relate,Grade 8,SCIENCE
3,3,"(4) Scientific investigation and reasoning. The student knows how to use a variety of tools and safety equipment to conduct science inquiry. The student is expected to: (A) use appropriate tools, including lab journals/notebooks, beakers, meter sticks, graduated cylinders, anemometers, psychrometers, hot plates, test tubes, spring scales, balances, microscopes, thermometers, calculators, computers, spectroscopes, timing devices, and other necessary equipment to collect, record, and analyze information; and (B) use preventative safety equipment, including chemical splash goggles, aprons, and gloves, and be prepared to use emergency safety equipment, including an eye/face wash, a fire blanket, and a fire extinguisher.",know; use; conduct; expect; use; include; graduate; time; collect; analyze; use; include; use; include,Grade 8,SCIENCE
4,4,"(5) Matter and energy. The student knows that matter is composed of atoms and has chemical and physical properties. The student is expected to: (A) describe the structure of atoms, including the masses, electrical charges, and locations, of protons and neutrons in the nucleus and electrons in the electron cloud; (B) identify that protons determine an element's identity and valence electrons determine its chemical properties, including reactivity; (C) interpret the arrangement of the Periodic Table, including groups and periods, to explain how properties are used to classify elements; (D) recognize that chemical formulas are used to identify substances and determine the number of atoms of each element in chemical formulas containing subscripts; and (E) investigate how evidence of chemical reactions indicates that new substances with different properties are formed and how that relates to the law of conservation of mass.",know; compose; have; expect; describe; include; identify; determine; determine; include; interpret; include; explain; use; classify; recognize; use; identify; determine; contain; investigate; indicate; form; relate,Grade 8,SCIENCE
5,5,"(6) Force, motion, and energy. The student knows that there is a relationship between force, motion, and energy. The student is expected to: (A) demonstrate and calculate how unbalanced forces change the speed or direction of an object's motion; (B) differentiate between speed, velocity, and acceleration; and (C) investigate and describe applications of Newton's three laws of motion such as in vehicle restraints, sports activities, amusement park rides, Earth's tectonic activities, and rocket launches.",know; be; expect; calculate; change; investigate; describe,Grade 8,SCIENCE
6,6,"(7) Earth and space. The student knows the effects resulting from cyclical movements of the Sun, Earth, and Moon. The student is expected to: (A) model and illustrate how the tilted Earth rotates on its axis, causing day and night, and revolves around the Sun, causing changes in seasons; (B) demonstrate and predict the sequence of events in the lunar cycle; and (C) relate the positions of the Moon and Sun to their effect on ocean tides.",know; result; expect; illustrate; tilt; rotate; cause; revolve; cause; demonstrate; predict; relate,Grade 8,SCIENCE
7,7,"(8) Earth and space. The student knows characteristics of the universe. The student is expected to: (A) describe components of the universe, including stars, nebulae, and galaxies, and use models such as the Hertzsprung-Russell diagram for classification; (B) recognize that the Sun is a medium-sized star located in a spiral arm of the Milky Way galaxy and that the Sun is many thousands of times closer to Earth than any other star; (C) identify how different wavelengths of the electromagnetic spectrum such as visible light and radio waves are used to gain information about components in the universe; and (D) research how scientific data are used as evidence to develop scientific theories to describe the origin of the universe.",know; expect; describe; include; recognize; locate; identify; use; gain; use; develop; describe,Grade 8,SCIENCE
8,8,(9) Earth and space. The student knows that natural events can impact Earth systems. The student is expected to: (A) describe the historical development of evidence that supports plate tectonic theory; (B) relate plate tectonics to the formation of crustal features; and (C) interpret topographic maps and satellite views to identify land and erosional features and predict how these features may be reshaped by weathering.,know; impact; expect; describe; support; relate; interpret; identify; predict; reshape,Grade 8,SCIENCE
9,9,"(10) Earth and space. The student knows that climatic interactions exist among Earth, ocean, and weather systems. The student is expected to: (A) recognize that the Sun provides the energy that drives convection within the atmosphere and oceans, producing winds; (B) identify how global patterns of atmospheric movement influence local weather using weather maps that show high and low pressures and fronts; and (C) identify the role of the oceans in the formation of weather systems such as hurricanes.",know; exist; expect; provide; drive; produce; identify; use; show; identify,Grade 8,SCIENCE
10,10,"(11) Organisms and environments. The student knows that interdependence occurs among living systems and the environment and that human activities can affect these systems. The student is expected to: (A) investigate how organisms and populations in an ecosystem depend on and may compete for biotic factors such as food and abiotic factors such as quantity of light, water, range of temperatures, or soil composition; (B) explore how short- and long-term environmental changes affect organisms and traits in subsequent populations; and (C) recognize human dependence on ocean systems and explain how human activities such as runoff, artificial reefs, or use of resources have modified these systems.",know; occur; affect; expect; investigate; depend; compete; explore; affect; recognize; explain; modify,Grade 8,SCIENCE
